"id","code","name"
l10n_pe_table_08_01,1,LIBRO CAJA Y BANCOS
l10n_pe_table_08_02,2,LIBRO DE INGRESOS Y GASTOS
l10n_pe_table_08_03,3,LIBRO DE INVENTARIOS Y BALANCES
l10n_pe_table_08_04,4,LIBRO DE RETENCIONES INCISOS E) Y F) DEL ARTICULO 34° DE LA LEY DEL IMPUESTO A LA RENTA
l10n_pe_table_08_05,5,LIBRO DIARIO
l10n_pe_table_08_06,6,LIBRO MAYOR
l10n_pe_table_08_07,7,REGISTRO DE ACTIVOS FIJOS
l10n_pe_table_08_08,8,REGISTRO DE COMPRAS
l10n_pe_table_08_09,9,REGISTRO DE CONSIGNACIONES
l10n_pe_table_08_10,10,REGISTRO DE COSTOS
l10n_pe_table_08_11,11,REGISTRO DE HUÉSPEDES
l10n_pe_table_08_12,12,REGISTRO DE INVENTARIO PERMANENTE EN UNIDADES FÍSICAS
l10n_pe_table_08_13,13,REGISTRO DE INVENTARIO PERMANENTE VALORIZADO
l10n_pe_table_08_14,14,REGISTRO DE VENTAS E INGRESOS
l10n_pe_table_08_15,15,REGISTRO DE VENTAS E INGRESOS - ARTÍCULO 23° RESOLUCIÓN DE SUPERINTENDENCIA N° 266-2004/SUNAT
l10n_pe_table_08_16,16,REGISTRO DEL RÉGIMEN DE PERCEPCIONES
l10n_pe_table_08_17,17,REGISTRO DEL RÉGIMEN DE RETENCIONES
l10n_pe_table_08_18,18,REGISTRO IVAP
l10n_pe_table_08_19,19,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - ARTÍCULO 8° RESOLUCIÓN DE SUPERINTENDENCIA N° 022-98/SUNAT
l10n_pe_table_08_20,20,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO A) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 021-99/SUNAT
l10n_pe_table_08_21,21,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO A) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 142-2001/SUNAT
l10n_pe_table_08_22,22,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO C) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 256-2004/SUNAT
l10n_pe_table_08_23,23,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO A) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 257-2004/SUNAT
l10n_pe_table_08_24,24,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO C) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 258-2004/SUNAT
l10n_pe_table_08_25,25,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO A) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 259-2004/SUNAT
l10n_pe_table_08_26,26,REGISTRO DE RETENCIONES ARTÍCULO 77-A DE LA LEY DEL IMPUESTO A LA RENTA
l10n_pe_table_08_27,27,LIBRO DE ACTAS DE LA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA
l10n_pe_table_08_28,28,LIBRO DE ACTAS DE LA JUNTA GENERAL DE ACCIONISTAS
l10n_pe_table_08_29,29,LIBRO DE ACTAS DEL DIRECTORIO
l10n_pe_table_08_30,30,LIBRO DE MATRÍCULA DE ACCIONES
l10n_pe_table_08_31,31,LIBRO DE PLANILLAS
