"id","code","name"
l10n_pe_table_06_01,4,small spray
l10n_pe_table_06_02,5,lift
l10n_pe_table_06_03,8,heat lot
l10n_pe_table_06_04,10,group
l10n_pe_table_06_05,11,outfit
l10n_pe_table_06_06,13,ration
l10n_pe_table_06_07,14,shot
l10n_pe_table_06_08,15,stick
l10n_pe_table_06_09,16,hundred fifteen kg drum
l10n_pe_table_06_10,17,hundred lb drum
l10n_pe_table_06_11,18,fiftyfive gallon (US) drum
l10n_pe_table_06_12,19,tank truck
l10n_pe_table_06_13,20,twenty foot container
l10n_pe_table_06_14,21,forty foot container
l10n_pe_table_06_15,22,decilitre per gram
l10n_pe_table_06_16,23,gram per cubic centimetre
l10n_pe_table_06_17,24,theoretical pound
l10n_pe_table_06_18,25,gram per square centimetre
l10n_pe_table_06_19,26,actual ton
l10n_pe_table_06_20,27,theoretical ton
l10n_pe_table_06_21,28,kilogram per square metre
l10n_pe_table_06_22,29,pound per thousand square feet
l10n_pe_table_06_23,30,horse power day per air dry metric ton
l10n_pe_table_06_24,31,catch weight
l10n_pe_table_06_25,32,kilogram per air dry metric ton
l10n_pe_table_06_26,33,kilopascal square metres per gram
l10n_pe_table_06_27,34,kilopascals per millimetre
l10n_pe_table_06_28,35,millilitres per square centimetre second
l10n_pe_table_06_29,36,cubic feet per minute per square foot
l10n_pe_table_06_30,37,ounce per square foot
l10n_pe_table_06_31,38,ounces per square foot per 0,01 inch
l10n_pe_table_06_32,40,millilitre per second
l10n_pe_table_06_33,41,millilitre per minute
l10n_pe_table_06_34,43,super bulk bag
l10n_pe_table_06_35,44,fivehundred kg bulk bag
l10n_pe_table_06_36,45,threehundred kg bulk bag
l10n_pe_table_06_37,46,fifty lb bulk bag
l10n_pe_table_06_38,47,fifty lb bag
l10n_pe_table_06_39,48,bulk car load
l10n_pe_table_06_40,53,theoretical kilograms
l10n_pe_table_06_41,54,theoretical tonne
l10n_pe_table_06_42,56,sitas
l10n_pe_table_06_43,57,mesh
l10n_pe_table_06_44,58,net kilogram
l10n_pe_table_06_45,59,part per million
l10n_pe_table_06_46,60,percent weight
l10n_pe_table_06_47,61,part per billion (US)
l10n_pe_table_06_48,62,percent per 1000 hour
l10n_pe_table_06_49,63,failure rate in time
l10n_pe_table_06_50,64,pound per square inch, gauge
l10n_pe_table_06_51,66,oersted
l10n_pe_table_06_52,69,test specific scale
l10n_pe_table_06_53,71,volt ampere per pound
l10n_pe_table_06_54,72,watt per pound
l10n_pe_table_06_55,73,ampere tum per centimetre
l10n_pe_table_06_56,74,millipascal
l10n_pe_table_06_57,76,gauss
l10n_pe_table_06_58,77,milli-inch
l10n_pe_table_06_59,78,kilogauss
l10n_pe_table_06_60,80,pounds per square inch absolute
l10n_pe_table_06_61,81,henry
l10n_pe_table_06_62,84,kilopound per square inch
l10n_pe_table_06_63,85,foot pound-force
l10n_pe_table_06_64,87,pound per cubic foot
l10n_pe_table_06_65,89,poise
l10n_pe_table_06_66,90,Saybold universal second
l10n_pe_table_06_67,91,stokes
l10n_pe_table_06_68,92,calorie per cubic centimetre
l10n_pe_table_06_69,93,calorie per gram
l10n_pe_table_06_70,94,curl unit
l10n_pe_table_06_71,95,twenty thousand gallon (US) tankcar
l10n_pe_table_06_72,96,ten thousand gallon (US) tankcar
l10n_pe_table_06_73,97,ten kg drum
l10n_pe_table_06_74,98,fifteen kg drum
l10n_pe_table_06_75,1A,car mile
l10n_pe_table_06_76,1B,car count
l10n_pe_table_06_77,1C,locomotive count
l10n_pe_table_06_78,1D,caboose count
l10n_pe_table_06_79,1E,empty car
l10n_pe_table_06_80,1F,train mile
l10n_pe_table_06_81,1G,fuel usage gallon (US)
l10n_pe_table_06_82,1H,caboose mile
l10n_pe_table_06_83,1I,fixed rate
l10n_pe_table_06_84,1J,ton mile
l10n_pe_table_06_85,1K,locomotive mile
l10n_pe_table_06_86,1L,total car count
l10n_pe_table_06_87,1M,total car mile
l10n_pe_table_06_88,1X,quarter mile
l10n_pe_table_06_89,2A,radian per second
l10n_pe_table_06_90,2B,radian per second squared
l10n_pe_table_06_91,2C,röntgen
l10n_pe_table_06_92,2I,British thermal unit per hour
l10n_pe_table_06_93,2J,cubic centimetre per second
l10n_pe_table_06_94,2K,cubic foot per hour
l10n_pe_table_06_95,2L,cubic foot per minute
l10n_pe_table_06_96,2M,centimetre per second
l10n_pe_table_06_97,2N,decibel
l10n_pe_table_06_98,2P,kilobyte
l10n_pe_table_06_99,2Q,kilobecquerel
l10n_pe_table_06_100,2R,kilocurie
l10n_pe_table_06_101,2U,megagram
l10n_pe_table_06_102,2V,megagram per hour
l10n_pe_table_06_103,2W,bin
l10n_pe_table_06_104,2X,metre per minute
l10n_pe_table_06_105,2Y,milliröntgen
l10n_pe_table_06_106,2Z,millivolt
l10n_pe_table_06_107,3B,megajoule
l10n_pe_table_06_108,3C,manmonth
l10n_pe_table_06_109,3E,pound per pound of product
l10n_pe_table_06_110,3G,pound per piece of product
l10n_pe_table_06_111,3H,kilogram per kilogram of product
l10n_pe_table_06_112,3I,kilogram per piece of product
l10n_pe_table_06_113,4A,bobbin
l10n_pe_table_06_114,4B,cap
l10n_pe_table_06_115,4C,centistokes
l10n_pe_table_06_116,4E,twenty pack
l10n_pe_table_06_117,4G,microlitre
l10n_pe_table_06_118,4H,micrometre (micron)
l10n_pe_table_06_119,4K,milliampere
l10n_pe_table_06_120,4L,megabyte
l10n_pe_table_06_121,4M,milligram per hour
l10n_pe_table_06_122,4N,megabecquerel
l10n_pe_table_06_123,4O,microfarad
l10n_pe_table_06_124,4P,newton per metre
l10n_pe_table_06_125,4Q,ounce inch
l10n_pe_table_06_126,4R,ounce foot
l10n_pe_table_06_127,4T,picofarad
l10n_pe_table_06_128,4U,pound per hour
l10n_pe_table_06_129,4W,ton(US) per hour
l10n_pe_table_06_130,4X,kilolitre per hour
l10n_pe_table_06_131,5A,barrel per minute
l10n_pe_table_06_132,5B,batch
l10n_pe_table_06_133,5C,gallon(US) per thousand
l10n_pe_table_06_134,5E,MMSCF/day
l10n_pe_table_06_135,5F,pounds per thousand
l10n_pe_table_06_136,5G,pump
l10n_pe_table_06_137,5H,stage
l10n_pe_table_06_138,5I,standard cubic foot
l10n_pe_table_06_139,5J,hydraulic horse power
l10n_pe_table_06_140,5K,count per minute
l10n_pe_table_06_141,5P,seismic level
l10n_pe_table_06_142,5Q,seismic line
l10n_pe_table_06_143,A1,15  C calorie
l10n_pe_table_06_144,A10,ampere square metre per joule second
l10n_pe_table_06_145,A11,ångström
l10n_pe_table_06_146,A12,astronomical unit
l10n_pe_table_06_147,A13,attojoule
l10n_pe_table_06_148,A14,barn
l10n_pe_table_06_149,A15,barn per electron volt
l10n_pe_table_06_150,A16,barn per steradian electron volt,
l10n_pe_table_06_151,A17,barn per sterdian
l10n_pe_table_06_152,A18,becquerel per kilogram
l10n_pe_table_06_153,A19,becquerel per metre cubed
l10n_pe_table_06_154,A2,ampere per centimetre
l10n_pe_table_06_155,A20,British thermal unit per second square foot degree Rankin
l10n_pe_table_06_156,A21,British thermal unit per pound degree Rankin
l10n_pe_table_06_157,A22,British thermal unit per second foot degree Rankin
l10n_pe_table_06_158,A23,British thermal unit per hour square foot degree Rankin
l10n_pe_table_06_159,A24,candela per square metre
l10n_pe_table_06_160,A25,cheval vapeur
l10n_pe_table_06_161,A26,coulomb metre
l10n_pe_table_06_162,A27,coulomb metre squared per volt
l10n_pe_table_06_163,A28,coulomb per cubic centimetre
l10n_pe_table_06_164,A29,coulomb per cubic metre
l10n_pe_table_06_165,A3,ampere per millimetre
l10n_pe_table_06_166,A30,coulomb per cubic millimetre
l10n_pe_table_06_167,A31,coulomb per kilogram second
l10n_pe_table_06_168,A32,coulomb per mole
l10n_pe_table_06_169,A33,coulomb per square centimetre
