"id","code","name"
l10n_pe_table_01_01,001,DEPÓSITO EN CUENTA
l10n_pe_table_01_02,002,GIRO
l10n_pe_table_01_03,003,TRANSFERENCIA DE FONDOS
l10n_pe_table_01_04,004,ORDEN DE PAGO
l10n_pe_table_01_05,005,TARJETA DE DÉBITO
l10n_pe_table_01_06,006,TARJETA DE CRÉDITO
l10n_pe_table_01_07,007,CHEQUES CON LA CLÁUSULA DE "NO NEGOCIABLE", "INTRANSFERIBLES", "NO A LA ORDEN" U OTRA EQUIVALENTE, A QUE SE REFIERE EL INCISO F) DEL ARTICULO 5° DEL DECRETO LEGISLATIVO.
l10n_pe_table_01_08,008,EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACIÓN DE UTILIZAR MEDIOS DE PAGO
l10n_pe_table_01_09,009,EFECTIVO, EN LOS DEMÁS CASOS
l10n_pe_table_01_10,010,MEDIOS DE PAGO DE COMERCIO EXTERIOR
l10n_pe_table_01_11,011,LETRAS DE CAMBIO
l10n_pe_table_01_12,101,TRANSFERENCIAS - COMERCIO EXTERIOR
l10n_pe_table_01_13,102,CHEQUES BANCARIOS  - COMERCIO EXTERIOR
l10n_pe_table_01_14,103,ORDEN DE PAGO SIMPLE  - COMERCIO EXTERIOR
l10n_pe_table_01_15,104,ORDEN DE PAGO DOCUMENTARIO  - COMERCIO EXTERIOR
l10n_pe_table_01_16,105,REMESA SIMPLE  - COMERCIO EXTERIOR
l10n_pe_table_01_17,106,REMESA DOCUMENTARIA  - COMERCIO EXTERIOR
l10n_pe_table_01_18,107,CARTA DE CRÉDITO SIMPLE  - COMERCIO EXTERIOR
l10n_pe_table_01_19,108,CARTA DE CRÉDITO DOCUMENTARIO  - COMERCIO EXTERIOR
l10n_pe_table_01_20,999,OTROS MEDIOS DE PAGO
