"id","code","name"
l10n_pe_table_05_01,01,MERCADERÍAS
l10n_pe_table_05_02,02,PRODUCTOS TERMINADOS
l10n_pe_table_05_03,03,MATERIAS PRIMAS
l10n_pe_table_05_04,04,ENVASES
l10n_pe_table_05_05,05,MATERIALES AUXILIARES
l10n_pe_table_05_06,06,SUMINISTROS 
l10n_pe_table_05_07,07,REPUESTOS
l10n_pe_table_05_08,08,EMBALAJES
l10n_pe_table_05_09,09,SUBPRODUCTOS 
l10n_pe_table_05_10,10,DESECHOS Y DESPERDICIOS
l10n_pe_table_05_11,91,OTROS 1
l10n_pe_table_05_12,92,OTROS 2
l10n_pe_table_05_13,93,OTROS 3
l10n_pe_table_05_14,94,OTROS 4
l10n_pe_table_05_15,95,OTROS 5
l10n_pe_table_05_16,96,OTROS 6
l10n_pe_table_05_17,97,OTROS 7
l10n_pe_table_05_18,98,OTROS 8
l10n_pe_table_05_19,99,OTROS
