"id","code","name"
l10n_pe_table_15_01,01,VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO
l10n_pe_table_15_02,02,VALORES EMITIDOS O GARANTIZADOS POR EL SISTEMA FINANCIERO
l10n_pe_table_15_03,03,VALORES EMITIDOS POR LA EMPRESA
l10n_pe_table_15_04,04,OTROS INSTRUMENTOS FINANCIEROS REPRESENTATIVOS DE DEUDA
l10n_pe_table_15_05,05,CERTIFICADOS DE SUSCRIPCIÓN PREFERENTE
l10n_pe_table_15_06,06,ACCIONES REPRESENTATIVAS DE CAPITAL SOCIAL
l10n_pe_table_15_07,07,ACCIONES DE INVERSIÓN
l10n_pe_table_15_08,08,CERTIFICADO DE PARTICIPACIÓN DE FONDOS
l10n_pe_table_15_09,09,ASOCIACIONES EN PARTICIPACIÓN Y CONSORCIOS
l10n_pe_table_15_10,10,OTROS INSTRUMENTOS FINANCIEROS REPRESENTATIVOS DE DERECHO PATRIMONIAL
l10n_pe_table_15_11,99,OTROS TÍTULOS
