"id","code","name"
l10n_pe_table_09_01,10,CAJA Y BANCOS
l10n_pe_table_09_02,12,CLIENTES
l10n_pe_table_09_03,16,CUENTAS POR COBRAR DIVERSAS
l10n_pe_table_09_04,20,MERCADERÍAS
l10n_pe_table_09_05,21,PRODUCTOS TERMINADOS
l10n_pe_table_09_06,33,INMUEBLES, MAQUINARIAS Y EQUIPO
l10n_pe_table_09_07,34,INTANGIBLES
l10n_pe_table_09_08,38,CARGAS DIFERIDAS
l10n_pe_table_09_09,39,DEPRECIACIÓN Y AMORTIZACIÓN ACUMULADA
l10n_pe_table_09_10,4011D,TRIBUTOS POR PAGAR - IGV - DÉBITOS
l10n_pe_table_09_11,4011C,TRIBUTOS POR PAGAR - IGV - CRÉDITOS
l10n_pe_table_09_12,4017D,TRIBUTOS POR PAGAR - IMPUESTO A LA RENTA - DÉBITOS
l10n_pe_table_09_13,4017C,TRIBUTOS POR PAGAR - IMPUESTO A LA RENTA - CRÉDITOS
l10n_pe_table_09_14,402,TRIBUTOS POR PAGAR - OTROS IMPUESTOS
l10n_pe_table_09_15,42,PROVEEDORES
l10n_pe_table_09_16,46,CUENTAS POR PAGAR DIVERSAS
l10n_pe_table_09_17,50,CAPITAL
l10n_pe_table_09_18,58,RESERVAS
l10n_pe_table_09_19,59,RESULTADOS ACUMULADOS
l10n_pe_table_09_20,60,COMPRAS
l10n_pe_table_09_21,61,VARIACIÓN DE EXISTENCIAS
l10n_pe_table_09_22,62,CARGAS DE PERSONAL
l10n_pe_table_09_23,63,SERVICIOS PRESTADOS POR TERCEROS
l10n_pe_table_09_24,65,CARGAS DIVERSAS DE GESTIÓN
l10n_pe_table_09_25,66,CARGAS EXCEPCIONALES
l10n_pe_table_09_26,67,CARGAS FINANCIERAS
l10n_pe_table_09_27,68,PROVISIONES DEL EJERCICIO
l10n_pe_table_09_28,69,COSTO DE VENTAS
l10n_pe_table_09_29,96,GASTOS ADMINISTRATIVOS
l10n_pe_table_09_30,97,GASTOS DE VENTAS
l10n_pe_table_09_31,70,VENTAS
l10n_pe_table_09_32,75,INGRESOS DIVERSOS
l10n_pe_table_09_33,76,INGRESOS EXCEPCIONALES
l10n_pe_table_09_34,77,INGRESOS FINANCIEROS
l10n_pe_table_09_35,79,CARGAS IMPUTABLES A LA CUENTA DE COSTOS
