"id","code","name"
l10n_pe_table_12_01,01,VENTA NACIONAL
l10n_pe_table_12_02,02,COMPRA NACIONAL
l10n_pe_table_12_03,03,CONSIGNACIÓN RECIBIDA
l10n_pe_table_12_04,04,CONSIGNACIÓN ENTREGADA
l10n_pe_table_12_05,05,DEVOLUCIÓN RECIBIDA
l10n_pe_table_12_06,06,DEVOLUCIÓN ENTREGADA
l10n_pe_table_12_07,07,BONIFICACIÓN
l10n_pe_table_12_08,08,PREMIO
l10n_pe_table_12_09,09,DONACIÓN
l10n_pe_table_12_10,10,SALIDA A PRODUCCIÓN
l10n_pe_table_12_11,11,SALIDA POR TRANSFERENCIA ENTRE ALMACENES 
l10n_pe_table_12_12,12,RETIRO
l10n_pe_table_12_13,13,MERMAS
l10n_pe_table_12_14,14,DESMEDROS
l10n_pe_table_12_15,15,DESTRUCCIÓN
l10n_pe_table_12_16,16,SALDO INICIAL
l10n_pe_table_12_17,17,EXPORTACIÓN
l10n_pe_table_12_18,18,IMPORTACIÓN
l10n_pe_table_12_19,19,ENTRADA DE PRODUCCIÓN
l10n_pe_table_12_20,20,ENTRADA POR DEVOLUCIÓN DE PRODUCCIÓN
l10n_pe_table_12_21,21,ENTRADA POR TRANSFERENCIA ENTRE ALMACENES 
l10n_pe_table_12_22,22,ENTRADA POR IDENTIFICACIÓN ERRONEA
l10n_pe_table_12_23,23,SALIDA POR IDENTIFICACIÓN ERRONEA
l10n_pe_table_12_24,24,ENTRADA POR DEVOLUCIÓN DEL CLIENTE
l10n_pe_table_12_25,25,SALIDA POR DEVOLUCIÓN AL PROVEEDOR
l10n_pe_table_12_26,26,ENTRADA PARA SERVICIO DE PRODUCCIÓN
l10n_pe_table_12_27,27,SALIDA POR SERVICIO DE PRODUCCIÓN
l10n_pe_table_12_28,28,AJUSTE POR DIFERENCIA DE INVENTARIO
l10n_pe_table_12_29,29,ENTRADA DE BIENES EN PRÉSTAMO
l10n_pe_table_12_30,30,SALIDA DE BIENES EN PRÉSTAMO
l10n_pe_table_12_31,31,ENTRADA DE BIENES EN CUSTODIA
l10n_pe_table_12_32,32,SALIDA DE BIENES EN CUSTODIA
l10n_pe_table_12_33,33,MUESTRAS MÉDICAS
l10n_pe_table_12_34,34,PUBLICIDAD
l10n_pe_table_12_35,35,GASTOS DE REPRESENTACIÓN
l10n_pe_table_12_36,36,RETIRO PARA ENTREGA A TRABAJADORES
l10n_pe_table_12_37,37,RETIRO POR CONVENIO COLECTIVO
l10n_pe_table_12_38,38,RETIRO POR SUSTITUCIÓN DE BIEN SINIESTRADO
l10n_pe_table_12_39,91,OTROS 1
l10n_pe_table_12_40,92,OTROS 2
l10n_pe_table_12_41,93,OTROS 3
l10n_pe_table_12_42,94,OTROS 4
l10n_pe_table_12_43,95,OTROS 5
l10n_pe_table_12_44,96,OTROS 6
l10n_pe_table_12_45,97,OTROS 7
l10n_pe_table_12_46,98,OTROS 8
l10n_pe_table_12_47,99,OTROS 
